sdoy,GPP,NEE,ER,NPP,Ra,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,Rh
139,2.8991,-1.1483,1.7508,0.0,1.2884,381.5446,383.4161,242.7373,209.8943,299.5212,321.5431,38340.9375,23120.3086,0.4624
140,5.347,-2.7332,2.6139,1.6565,2.0713,381.7769,383.5802,243.0355,210.1322,299.4993,321.6271,38341.0312,23120.3555,0.5425
141,5.6522,-2.5441,3.1081,2.0973,2.474,382.229,383.7885,243.5098,210.2286,299.4729,321.7508,38341.125,23120.4023,0.6342
142,6.2072,-2.8814,3.3258,2.5039,2.6001,382.8835,384.0375,244.146,210.1493,299.4407,321.9591,38341.2188,23120.4492,0.7257
143,6.9153,-3.0102,3.9052,2.9469,3.0015,383.7584,384.3307,244.9586,209.7593,299.3985,322.2917,38341.3477,23120.4961,0.9037
144,7.5968,-3.74,3.8568,2.8808,3.0223,384.5991,384.6174,245.7433,209.568,299.3625,322.4812,38341.4922,23120.543,0.8345
145,1.2254,1.0522,2.2777,0.0,1.503,383.9987,384.6159,245.3746,209.5527,299.3321,322.5403,38341.6797,23120.5898,0.7746
146,7.4347,-3.472,3.9626,2.6742,2.9308,384.7355,384.882,246.0756,209.0236,299.285,322.8573,38341.8672,23120.6367,1.0319
147,7.3773,-2.7596,4.6177,3.3009,3.4226,385.7844,385.2106,247.0265,208.2216,299.2289,323.2736,38342.0547,23120.6836,1.1951
148,6.5831,-1.8611,4.722,3.4962,3.5449,386.9295,385.5587,248.0543,207.5061,299.1753,323.6103,38342.2422,23120.7305,1.1771
149,0.8504,1.7726,2.623,0.4033,1.7607,386.5269,385.5975,247.8432,207.4941,299.1445,323.5391,38342.4297,23120.7773,0.8623
150,3.2979,-1.0738,2.2241,0.0,1.5395,385.9236,385.5961,247.4715,207.7245,299.1216,323.4313,38342.6172,23120.8242,0.6845
151,3.9369,-0.9892,2.9477,1.4778,2.3136,386.0596,385.7424,247.6913,207.9875,299.0999,323.3587,38342.7734,23120.8711,0.6341
152,6.3249,-2.5284,3.7965,2.767,2.9992,386.8398,386.0176,248.4265,207.9049,299.067,323.4765,38342.9219,23120.918,0.7973
153,7.1466,-2.4747,4.6719,3.7856,3.7282,388.1278,386.3947,249.5677,207.6105,299.0269,323.6415,38343.1094,23120.9648,0.9437
154,3.0472,1.1344,4.1816,2.8795,3.1968,388.9608,386.6812,250.3444,207.3206,298.9868,323.7424,38343.2969,23121.0117,0.9848
155,5.296,-0.8576,4.4384,3.295,3.4138,389.9998,387.0092,251.2856,206.9959,298.9455,323.8304,38343.4844,23121.0586,1.0247
156,7.3605,-3.0905,4.27,2.9029,3.1421,390.8416,387.298,252.0692,206.4542,298.8968,324.0387,38343.6719,23121.123,1.1279
157,3.6771,-0.4867,3.1905,1.4279,2.3071,390.945,387.4394,252.2617,206.4202,298.8647,323.9792,38343.8594,23121.1699,0.8833
158,6.2292,-2.1201,4.1091,2.3699,2.8453,391.5189,387.6748,252.8307,205.6449,298.8082,324.2794,38344.0391,23121.2383,1.2638
159,8.5811,-3.9587,4.6224,3.1846,3.345,392.4991,387.9918,253.7246,204.9358,298.7535,324.4767,38344.2227,23121.332,1.2774
160,7.935,-2.7091,5.2259,4.0294,3.8583,393.9002,388.3933,254.9553,204.0399,298.6924,324.7768,38344.4102,23121.4258,1.3676
161,7.6211,-2.7329,4.8882,3.5425,3.585,395.0553,388.7462,255.9892,203.3743,298.6385,324.888,38344.5977,23121.5195,1.3032
162,7.2554,-2.402,4.8534,3.2856,3.4623,396.0805,389.0733,256.9192,202.4848,298.5768,325.1528,38344.7852,23121.6133,1.391
163,6.9128,-1.5968,5.316,3.7887,3.7327,397.3553,389.4507,258.0491,201.2667,298.5038,325.5443,38344.9727,23121.707,1.5833
164,7.7909,-2.5641,5.2268,3.7855,3.7266,398.6267,389.8277,259.1762,200.2769,298.4379,325.7777,38345.1602,23121.8008,1.5002
165,6.8784,-2.458,4.4204,2.5467,3.0386,399.2769,390.0808,259.8059,199.5629,298.381,325.8459,38345.3477,23121.8945,1.3819
166,7.2483,-2.6021,4.6463,3.3044,3.4952,400.3047,390.4098,260.7376,199.2473,298.3373,325.7654,38345.5352,23121.9883,1.1511
167,5.8162,-1.6694,4.1468,2.6258,3.1306,400.9919,390.6709,261.3966,199.1355,298.3004,325.636,38345.7227,23122.082,1.0162
168,6.566,-1.8911,4.6749,3.1225,3.3933,401.9265,390.9816,262.2532,198.4983,298.2456,325.7707,38345.9102,23122.1758,1.2816
169,5.3783,-1.2824,4.0959,2.2892,2.9278,402.443,391.2091,262.7756,198.1503,298.2004,325.7145,38346.0977,23122.2695,1.1681
170,8.4274,-3.1358,5.2916,4.2081,4.0837,403.9179,391.6284,264.067,197.6494,298.15,325.792,38346.2852,23122.3633,1.2079
171,7.4053,-1.6674,5.7379,4.7931,4.3306,405.682,392.1064,265.5887,196.8863,298.0901,325.9048,38346.4727,23122.457,1.4073
172,7.7757,-2.6381,5.1376,3.568,3.6198,406.8317,392.4618,266.6198,195.9007,298.0222,326.135,38346.6602,23122.5508,1.5178
173,7.012,-1.9475,5.0646,3.747,3.7453,408.0688,392.835,267.7192,195.3915,297.9704,326.0693,38346.8477,23122.6445,1.3193
174,7.5368,-2.4855,5.0513,3.4395,3.5576,409.1505,393.1774,268.693,194.5008,297.905,326.2279,38347.0352,23122.7383,1.4938
