ts,xs
624,10.8624
625,12.4317
626,8.5629
627,6.142
628,10.3374
629,9.9198
630,6.4596
631,6.1013
632,4.1699
633,9.5103
634,4.9717
635,5.0054
636,6.115
637,8.9507
638,9.9663
639,10.6061
640,11.0709
641,7.7158
642,10.0918
643,6.9443
644,2.4414
645,2.4395
646,3.113
647,4.3039
648,3.2686
649,3.1024
650,2.1272
651,1.5304
652,5.2324
653,4.5115
654,5.3496
655,10.5673
656,8.2023
657,7.7814
658,7.656
659,5.1789
660,8.5592
661,9.1757
662,8.2808
663,8.1957
664,2.714
665,1.6465
666,0.6408
667,-0.352
668,2.1922
669,0.6886
670,0.0295
671,1.6111
672,0.027
673,0.339
674,-1.8874
675,0.0428
676,1.9299
677,2.3191
678,3.5364
679,1.6864
680,2.7651
681,1.2666
682,-2.9349
683,-1.8429
684,-0.1511
685,-1.1811
686,-2.6093
687,2.1621
688,4.0893
689,3.4788
690,0.1941
691,1.5458
692,0.055
693,-4.5847
694,-6.9161
695,-4.8734
696,-7.8192
697,-3.9925
698,-4.8055
699,-4.4849
700,-2.8823
701,-0.4548
702,0.0286
703,2.3018
704,-5.8166
705,-5.1167
706,-1.9353
707,-5.643
708,-4.646
709,-4.785
710,-9.0275
711,-6.997
712,-5.4191
713,-5.2233
714,-4.6301
715,-0.8003
716,-2.1304
717,-3.307
718,-3.2449
719,-2.2945
720,-3.1898
721,-5.4819
722,-5.8445
723,-4.9382
724,-6.0821
725,-7.4559
726,-7.4067
727,-7.2902
728,-6.3603
729,-5.3979
730,-5.1963
731,-4.68
732,-5.4396
733,-5.7972
734,-5.6057
735,-4.3316
736,-4.7966
737,-4.2009
738,-3.4847
739,-2.9126
740,-2.2911
741,-1.9095
742,-1.1572
743,-1.2535
744,-1.8147
745,-2.2759
746,-2.5913
747,-2.7751
748,-3.0129
749,-3.1477
750,-2.9868
751,-3.2009
752,-3.6104
753,-4.0692
754,-4.2363
755,-4.4695
756,-4.3266
757,-4.3071
758,-4.0401
759,-3.4568
760,-2.9431
761,-2.7926
762,-2.9604
763,-3.4128
764,-3.7216
765,-3.7458
766,-4.0026
767,-3.8646
768,-3.6622
769,-3.3716
770,-3.2407
771,-2.9641
772,-2.6366
773,-2.4138
774,-2.4072
775,-2.3346
776,-2.293
777,-2.4604
778,-2.6368
779,-2.8
780,-2.5921
781,-2.7307
782,-3.002
783,-3.1983
784,-3.0207
785,-2.7772
786,-2.7032
787,-2.5972
788,-2.5627
789,-2.399
790,-2.2606
791,-2.2563
792,-2.2618
793,-2.2309
794,-2.1707
795,-2.067
796,-2.0352
